"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"101",1,0,1,0,0,0,0,0,0,0
"102",1,1,1,1,1,1,1,0,0,0
"103",0,1,1,1,1,0,0,0,0,0
"104",1,0,1,1,1,1,0,1,0,0
"105",1,1,1,1,1,0,1,1,1,1
"106",1,0,1,1,0,0,0,1,0,0
"107",1,1,1,1,1,1,1,1,0,1
"108",0,1,0,1,1,1,1,1,1,1
"109",0,1,1,1,1,1,1,1,1,1
"110",1,0,1,1,1,1,1,1,1,1
"111",1,1,1,1,1,1,1,1,0,0
"112",0,1,0,0,1,0,1,0,1,1
"113",1,1,0,0,1,1,1,1,1,1
"114",1,1,0,1,1,0,0,0,0,0
"115",1,1,1,1,1,1,0,0,1,0
"116",1,1,1,0,0,1,0,0,0,0
"117",1,1,1,1,1,1,1,1,1,0
"118",0,0,0,0,1,1,1,1,1,1
"119",0,0,0,1,0,0,0,0,1,0
"120",1,1,1,0,1,0,0,0,0,0
"121",1,1,1,1,1,1,1,0,1,1
"122",1,1,1,1,0,0,0,1,0,0
"123",0,1,0,0,1,1,0,0,0,0
"124",0,0,0,1,1,1,1,1,1,1
"125",0,0,0,1,1,1,1,1,1,1
"126",1,1,1,1,1,0,0,0,0,0
"127",1,1,1,1,1,0,0,0,0,0
"128",0,1,1,1,1,1,1,0,0,0
"129",0,0,0,1,0,0,0,1,1,1
"130",0,1,0,0,0,0,0,0,0,0
"131",0,0,0,1,1,1,1,1,1,1
"132",1,1,1,1,1,1,0,1,1,1
"133",1,1,1,1,1,0,0,0,1,0
"134",1,0,0,0,0,0,0,0,0,0
"135",1,1,1,1,1,0,0,0,0,0
"136",1,1,1,0,1,1,0,0,0,0
"137",0,0,0,0,0,0,0,1,0,1
"138",1,0,0,0,0,0,0,0,0,0
"139",1,1,1,1,1,0,0,0,0,0
"140",0,0,0,0,0,0,1,1,0,0
"141",1,0,1,1,0,0,0,0,0,0
"142",1,1,1,1,1,1,1,0,0,0
"143",0,0,0,0,0,0,0,0,1,0
"144",1,0,1,1,0,0,1,0,0,0
"145",0,0,1,1,1,1,1,1,1,1
"146",1,1,0,1,1,0,1,0,0,1
"147",1,0,1,0,1,0,1,0,0,0
"148",1,1,0,1,1,0,0,0,0,0
"149",0,1,1,0,0,0,0,0,0,0
"150",1,1,1,1,1,1,0,0,1,0
"151",1,1,1,1,1,1,1,1,1,0
"152",0,0,1,1,1,1,1,1,1,1
"153",0,0,0,0,0,0,0,0,0,1
"154",1,1,1,1,1,1,1,1,1,0
"155",1,1,1,1,1,1,1,1,1,0
"156",0,0,1,0,1,0,1,1,1,1
"157",1,0,0,1,1,0,0,0,0,0
"158",0,0,0,0,0,0,0,1,0,0
"159",0,1,1,0,0,0,0,0,0,0
"160",1,1,1,0,1,0,0,0,1,0
"161",0,0,0,0,0,1,0,0,1,1
"162",0,1,0,0,1,1,1,0,1,1
"163",1,1,1,1,0,0,0,0,0,1
"164",0,1,0,0,0,0,0,0,0,0
"165",1,1,1,1,1,1,0,0,0,0
"166",1,1,0,1,1,1,1,1,1,1
"167",1,0,0,0,1,1,0,0,0,0
"168",0,0,0,0,0,0,0,1,0,1
"169",1,1,0,1,1,1,1,1,1,1
"170",0,0,0,0,0,1,0,0,1,1
"171",1,1,1,1,0,0,0,0,0,0
"172",0,0,1,1,1,1,1,1,1,1
"173",1,1,1,1,1,1,0,1,0,1
"174",1,1,0,1,1,1,1,1,1,1
"175",0,1,1,1,1,1,1,1,1,1
"176",0,0,0,0,0,0,1,0,1,1
"177",1,0,1,1,1,0,0,0,0,0
"178",1,1,1,1,0,1,1,0,0,0
"179",0,1,0,0,0,0,0,0,0,0
"180",0,0,0,0,1,0,1,1,0,0
"181",0,0,0,1,1,0,1,1,1,1
"182",0,0,0,0,0,0,0,1,0,1
"183",1,1,1,1,0,0,0,0,0,0
"184",0,0,1,1,1,1,1,1,1,1
"185",1,1,0,0,0,1,1,0,1,1
"186",1,0,0,0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0,1,0,0
"188",1,1,1,1,1,0,1,0,0,0
"189",0,0,0,1,1,1,1,1,1,1
"190",1,1,0,1,1,1,1,1,1,1
"191",1,1,1,1,0,1,0,0,0,0
"192",0,0,0,0,0,1,1,1,0,1
"193",0,1,0,0,0,0,0,0,0,0
"194",1,1,0,1,1,1,1,0,1,1
"195",0,0,0,0,0,0,0,0,0,1
"196",1,0,0,0,1,1,1,1,1,1
"197",0,0,0,0,0,0,0,0,0,1
"198",0,0,0,0,0,0,0,1,0,1
"199",0,1,0,1,0,0,0,0,1,0
"200",1,1,1,1,1,1,1,0,1,1
"201",1,1,0,1,0,0,0,0,0,0
"202",0,0,0,0,1,1,0,0,0,1
"203",0,0,0,0,0,0,0,0,0,1
"204",0,1,1,1,1,1,1,1,1,1
"205",1,0,1,1,0,1,1,0,1,1
"206",1,1,1,0,0,0,0,0,0,0
"207",1,1,1,0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0,0,0,1
"209",1,0,0,1,0,0,0,0,0,0
"210",1,1,1,1,1,1,1,0,1,1
"211",0,0,0,0,0,0,0,0,0,1
"212",0,0,0,0,1,0,1,1,1,0
"213",0,0,0,0,0,0,1,0,0,0
"214",0,1,0,1,1,1,0,0,1,1
"215",1,1,1,1,1,1,0,1,0,0
"216",0,0,0,0,0,0,0,0,1,1
"217",1,0,0,0,0,0,0,0,0,0
"218",0,0,0,0,0,0,0,1,1,1
"219",0,0,0,0,0,0,1,1,0,1
"220",1,0,0,0,0,0,0,0,0,0
"221",0,0,0,1,0,0,0,0,0,0
"222",0,1,1,1,1,1,1,1,1,1
"223",1,1,1,1,1,1,1,1,1,0
"224",0,0,0,0,0,0,0,0,0,1
"225",0,1,1,1,1,1,1,1,1,1
"226",0,0,0,0,1,0,0,0,0,1
"227",0,0,1,0,1,1,1,1,1,1
"228",1,1,1,0,1,1,1,1,1,1
"229",1,0,0,1,0,0,0,0,0,0
"230",1,1,1,0,1,1,1,0,1,1
"231",1,1,1,1,1,1,1,0,1,0
"232",0,0,0,0,0,0,0,0,0,1
"233",1,1,1,1,1,1,1,1,1,0
"234",1,1,1,0,1,0,0,0,0,0
"235",1,1,1,1,1,1,1,1,1,0
"236",1,1,1,1,1,1,0,1,0,0
"237",1,1,1,1,1,1,1,0,1,0
"238",1,0,0,0,0,0,0,0,0,0
"239",1,1,1,1,1,1,1,1,1,0
"240",0,0,0,0,0,0,0,0,1,0
"241",0,0,0,1,0,0,1,1,1,1
"242",0,0,0,0,0,1,0,0,0,1
"243",0,0,0,1,0,0,1,1,1,1
"244",0,1,1,1,1,1,1,1,1,1
"245",1,1,1,1,1,1,1,1,0,1
"246",1,1,1,1,0,0,1,0,1,0
"247",0,0,0,0,0,1,1,0,1,1
"248",0,0,0,0,0,1,1,1,0,1
"249",0,1,0,0,0,1,1,1,1,1
"250",0,0,1,0,1,1,1,1,0,1
"251",0,0,1,0,0,0,0,0,0,0
"252",1,0,0,1,0,0,0,0,0,0
"253",0,0,0,0,0,1,1,0,1,0
"254",1,1,1,0,1,1,1,0,1,1
"255",0,0,0,0,1,0,0,0,0,0
"256",1,1,1,1,1,0,0,1,0,0
"257",0,0,0,0,1,0,1,0,1,0
"258",0,0,1,0,0,0,0,0,0,0
"259",1,1,1,0,0,1,1,1,1,0
"260",1,1,1,1,1,0,0,0,0,0
"261",0,0,0,0,0,0,0,1,0,1
"262",1,1,0,1,0,0,0,0,0,0
"263",0,0,1,0,1,0,0,0,0,0
"264",0,0,0,0,0,1,1,1,1,1
"265",1,1,1,1,1,1,1,1,0,0
"266",0,0,0,0,0,0,0,0,0,1
"267",1,1,0,0,0,0,0,0,0,0
"268",1,1,1,1,1,1,1,0,0,0
"269",0,0,0,0,1,1,1,1,1,1
"270",1,0,0,1,0,1,0,0,0,0
"271",1,0,1,1,1,1,1,1,1,1
"272",0,0,0,0,0,1,1,0,1,1
"273",0,1,1,1,1,1,1,1,1,1
"274",1,1,1,1,1,1,1,0,0,0
"275",0,0,0,0,0,0,0,0,0,1
"276",0,0,0,0,0,1,0,0,1,1
"277",1,1,0,1,0,0,0,0,0,0
"278",1,1,0,1,1,1,1,1,1,1
"279",0,0,0,1,0,1,0,0,0,0
"280",0,0,1,0,1,0,1,1,1,1
"281",0,0,0,0,1,1,1,1,1,1
"282",0,0,0,0,0,0,0,0,1,0
"283",1,1,1,1,1,0,0,1,1,0
"284",1,1,0,0,0,0,0,0,0,0
"285",1,1,1,1,1,0,1,0,1,0
"286",0,0,0,0,0,0,0,1,0,1
"287",0,0,0,0,0,0,0,1,1,1
"288",1,1,1,1,0,0,0,0,0,0
"289",0,0,0,0,1,1,0,1,1,1
"290",0,0,0,0,0,0,0,0,1,1
"291",0,0,1,1,0,1,1,1,1,1
"292",0,0,1,1,0,1,1,1,1,1
"293",1,0,0,1,0,1,1,1,1,1
"294",1,1,1,1,1,1,0,0,0,0
"295",0,0,0,0,0,0,0,1,0,0
"296",0,1,0,0,0,0,0,0,0,0
"297",1,0,1,0,0,0,0,0,0,0
"298",0,0,0,0,1,1,1,1,1,1
"299",1,1,0,1,1,0,1,1,0,1
"300",0,0,0,0,1,0,1,1,1,1
"301",1,1,0,0,1,1,1,0,0,0
"302",1,0,1,1,1,1,1,1,1,1
"303",0,0,1,0,0,1,1,1,1,1
"304",1,1,1,1,1,1,1,1,1,0
"305",1,1,0,0,0,0,0,0,0,0
"306",1,0,0,0,0,0,0,0,0,0
"307",1,1,1,1,1,1,1,1,1,0
"308",0,1,1,1,1,1,1,1,1,1
"309",1,1,1,1,1,1,0,1,1,1
"310",0,0,0,0,0,0,0,1,1,1
"311",1,1,0,1,1,1,1,1,1,1
"312",1,1,0,1,1,0,1,1,1,1
"313",0,0,0,0,0,1,0,1,1,0
"314",0,0,0,0,0,0,0,0,0,1
"315",1,1,0,1,0,0,0,0,0,0
"316",1,1,1,0,0,0,0,0,0,0
"317",0,1,1,1,0,0,0,0,0,0
"318",0,0,1,0,0,0,0,0,0,0
"319",0,0,0,0,0,0,0,0,1,0
"320",1,0,0,1,1,1,1,1,1,1
"321",0,0,0,1,0,0,0,0,0,1
"322",0,1,1,1,1,1,0,0,0,0
"323",1,1,0,1,0,0,0,0,0,0
"324",0,0,0,0,0,0,1,0,0,0
"325",1,1,1,1,1,1,1,1,1,0
"326",1,1,1,1,1,0,1,1,1,0
"327",0,0,0,0,0,0,1,1,1,0
"328",0,0,0,0,0,0,0,1,1,0
"329",0,0,0,0,0,0,1,0,1,1
"330",0,0,0,0,1,0,1,1,1,1
"331",0,0,0,0,0,0,0,1,1,1
"332",0,1,1,0,0,0,0,1,0,0
"333",1,1,0,0,1,0,0,0,0,0
"334",0,0,0,0,0,0,0,0,1,0
"335",0,0,0,0,1,1,0,0,0,1
"336",1,1,0,0,0,0,1,0,1,0
"337",1,1,1,1,1,1,1,1,0,0
"338",0,0,0,0,0,0,1,0,1,1
"339",1,1,1,1,1,1,0,1,1,1
"340",0,0,0,0,0,0,1,1,1,0
"341",0,1,1,1,1,1,1,1,1,1
"342",0,0,1,1,1,0,1,1,1,1
"343",1,1,1,0,1,0,0,0,0,0
"344",0,1,0,0,0,0,0,0,0,0
"345",0,0,0,1,1,0,1,1,1,1
"346",0,1,1,1,1,1,1,1,1,1
"347",1,1,0,1,1,0,0,0,0,0
"348",1,1,1,0,0,0,0,0,0,0
"349",0,0,1,0,1,0,0,1,1,1
"350",0,0,1,0,0,0,1,0,1,0
"351",1,1,1,1,1,0,1,1,1,0
"352",1,1,1,1,1,1,1,1,0,1
"353",0,0,0,0,0,0,0,1,1,1
"354",0,0,0,0,0,0,0,0,0,1
"355",1,1,1,1,1,1,1,0,0,0
"356",0,0,1,0,1,0,1,1,1,1
"357",0,0,0,1,1,0,1,1,1,1
"358",1,1,1,1,1,1,1,1,0,0
"359",1,1,1,1,1,1,0,1,0,0
"360",0,0,0,0,0,0,0,0,0,1
"361",1,1,0,1,1,1,0,1,1,0
"362",0,1,0,1,1,1,1,1,1,1
"363",1,0,1,0,0,0,0,0,0,0
"364",1,0,0,0,0,0,0,0,0,0
"365",0,0,0,0,0,0,1,0,1,0
"366",0,1,1,1,0,1,0,0,1,0
"367",0,0,0,1,0,1,1,1,1,1
"368",1,0,0,0,0,0,1,0,0,0
"369",1,1,1,0,1,1,1,1,1,1
"370",1,1,1,1,1,1,1,0,1,1
"371",0,1,1,1,1,0,0,0,0,0
"372",0,1,0,1,1,1,1,1,1,1
"373",0,0,0,0,0,0,0,0,1,0
"374",0,0,0,0,1,0,1,1,0,0
"375",1,1,0,0,1,0,0,0,0,0
"376",1,1,1,1,0,0,0,0,0,0
"377",0,0,0,0,0,0,0,1,1,0
"378",1,1,1,1,0,0,0,0,0,0
"379",1,1,1,1,1,0,0,1,0,1
"380",0,0,1,0,0,0,0,1,1,1
"381",1,1,1,1,1,1,1,1,1,0
"382",0,0,0,0,0,0,1,0,1,0
"383",1,1,1,1,1,1,0,1,1,1
"384",1,1,0,1,0,1,0,0,0,0
"385",1,1,1,1,1,1,1,1,1,0
"386",0,0,0,1,1,1,1,1,1,1
"387",0,1,1,1,1,1,1,1,1,0
"388",1,0,0,0,0,0,0,0,0,0
"389",1,0,1,1,1,1,1,1,1,1
"390",1,1,0,1,0,1,1,1,1,1
"391",1,0,0,1,0,0,1,0,0,0
"392",0,0,0,0,0,0,0,0,0,1
"393",0,0,0,1,1,1,1,1,1,1
"394",0,0,0,0,1,1,1,1,1,1
"395",1,1,1,1,1,1,1,1,0,0
"396",1,1,0,1,1,0,0,0,0,0
"397",1,0,1,1,1,1,1,1,1,1
"398",0,0,0,0,1,1,1,1,0,1
"399",1,0,0,0,0,0,0,0,0,0
"400",0,0,1,1,1,0,1,1,1,1
"401",0,0,0,0,0,0,0,0,0,1
"402",1,0,1,1,1,1,1,1,1,1
"403",0,0,0,0,0,0,1,1,1,0
"404",0,0,0,0,0,0,0,1,0,0
"405",1,0,1,1,1,1,1,1,1,1
"406",0,0,0,0,0,0,0,0,1,1
"407",0,0,0,0,0,0,0,1,1,1
"408",1,1,1,1,1,1,1,0,1,0
"409",1,0,0,0,0,0,0,1,0,0
"410",0,1,0,1,1,0,0,0,0,0
"411",1,1,1,1,0,1,0,0,0,0
"412",1,1,1,1,1,1,1,1,0,1
"413",1,0,1,1,1,1,1,1,1,1
"414",0,0,0,0,0,0,1,0,0,1
"415",1,1,1,0,0,1,0,1,0,0
"416",0,0,0,1,1,1,1,0,1,1
"417",1,1,1,1,1,1,0,0,0,1
"418",1,1,0,1,0,0,0,0,0,1
"419",1,1,1,0,0,0,0,0,0,0
"420",1,1,1,1,1,1,1,1,0,0
"421",1,1,1,0,0,1,0,0,0,0
"422",1,0,1,1,1,0,1,1,1,1
"423",1,1,1,1,0,1,1,1,0,0
"424",0,0,0,0,1,1,1,0,1,1
"425",0,0,0,0,0,1,1,1,1,1
"426",1,1,1,0,1,1,1,1,1,1
"427",0,0,0,1,0,0,0,1,1,1
"428",0,0,0,0,1,1,1,1,1,1
"429",1,1,1,1,1,1,1,0,1,0
"430",0,0,0,0,0,0,1,0,1,1
"431",1,1,0,1,0,0,0,0,0,0
"432",1,1,1,1,1,0,1,1,0,0
"433",1,1,0,0,0,0,0,0,0,0
"434",0,0,0,1,1,0,0,0,0,1
"435",1,0,0,0,1,1,1,1,1,1
"436",1,1,0,0,0,1,0,0,0,0
"437",0,0,0,0,1,1,0,0,1,1
"438",0,1,1,0,0,0,0,0,0,1
"439",0,0,0,0,0,0,0,0,1,1
"440",0,1,0,1,1,0,1,0,1,1
"441",0,1,0,1,1,1,1,1,1,1
"442",0,0,0,0,0,1,0,1,1,1
"443",1,1,1,1,0,1,1,1,1,1
"444",0,0,0,1,0,0,0,1,1,1
"445",1,0,0,0,1,0,0,0,0,0
"446",1,1,0,1,0,1,0,0,0,0
"447",0,1,1,1,1,1,1,1,1,1
"448",0,0,0,0,0,0,0,1,0,1
"449",1,1,1,1,1,1,1,0,1,1
"450",1,1,1,1,1,1,0,0,0,0
"451",1,0,0,0,0,0,0,0,0,0
"452",0,0,0,0,0,0,0,1,1,1
"453",1,1,1,0,1,1,0,0,1,0
"454",1,1,1,1,1,0,1,1,0,1
"455",0,0,1,0,0,1,1,0,1,1
"456",1,1,0,1,0,1,0,0,0,0
"457",0,0,0,0,1,1,1,0,1,1
"458",0,0,1,1,0,1,1,1,1,1
"459",1,1,1,1,1,1,0,1,1,0
"460",0,0,0,1,0,0,0,0,0,0
"461",1,0,0,1,1,0,0,0,0,0
"462",1,0,0,1,0,0,0,0,0,0
"463",1,1,1,1,1,1,1,0,1,1
"464",0,0,0,0,0,1,1,0,1,1
"465",1,1,1,1,0,0,1,0,0,0
"466",0,0,0,0,0,0,1,0,0,0
"467",1,1,1,1,1,1,0,0,0,1
"468",0,0,0,0,0,1,0,1,0,1
"469",1,1,1,1,1,1,1,1,0,1
"470",0,1,0,0,1,0,0,1,1,0
"471",1,1,1,1,1,1,1,1,1,0
"472",0,1,0,1,1,1,1,1,1,1
"473",0,1,0,0,0,0,0,0,0,0
"474",1,0,0,0,0,0,0,0,0,0
"475",1,1,1,0,0,1,1,1,1,1
"476",1,1,1,1,0,0,0,0,0,0
"477",0,0,0,1,0,1,1,0,0,1
"478",0,0,0,0,0,0,0,0,1,1
"479",0,0,0,0,0,0,0,1,0,0
"480",0,0,0,0,0,1,0,1,1,1
"481",1,1,1,1,0,1,0,1,1,1
"482",0,1,0,1,1,1,1,1,1,1
"483",1,1,1,1,1,0,1,1,1,1
"484",0,0,0,0,0,0,0,0,1,0
"485",0,0,0,0,1,0,0,1,0,0
"486",0,0,0,0,0,0,0,1,0,0
"487",0,1,0,0,0,0,0,0,0,0
"488",1,1,1,0,1,1,1,1,1,1
"489",0,0,0,1,1,1,1,1,1,0
"490",1,1,0,1,1,1,1,1,1,1
"491",0,1,0,1,0,0,0,0,0,0
"492",0,0,0,0,0,0,1,1,1,1
"493",0,0,0,0,0,0,0,1,0,1
"494",0,0,0,0,0,1,1,0,0,0
"495",1,1,1,1,1,1,0,1,1,0
"496",1,1,1,1,0,1,1,1,1,0
"497",1,1,1,1,1,1,1,0,0,0
"498",0,1,0,1,1,1,1,1,1,1
"499",0,0,0,0,0,0,1,0,1,0
"500",0,0,0,1,0,0,1,0,1,1
"501",0,0,0,1,1,0,1,1,1,1
"502",0,1,0,1,1,0,0,0,0,0
"503",1,1,1,1,1,0,1,0,1,0
"504",0,0,0,0,0,0,0,0,0,1
"505",0,1,1,0,1,1,0,0,1,1
"506",1,1,1,1,1,1,1,1,0,1
"507",0,1,1,0,1,1,1,1,1,1
"508",1,1,0,0,0,1,0,0,0,0
"509",0,1,0,0,0,0,0,0,0,0
"510",0,0,0,0,1,0,0,0,1,0
"511",0,0,0,0,0,0,0,0,1,1
"512",1,0,1,1,1,1,1,1,1,1
"513",1,1,1,1,0,0,0,0,0,0
"514",1,0,0,0,0,0,0,0,0,0
"515",0,0,1,1,1,1,0,1,1,1
"516",1,1,1,1,1,1,1,0,0,0
"517",1,1,1,1,0,0,1,1,0,0
"518",1,1,1,1,1,0,0,0,0,0
"519",1,1,0,0,0,0,0,0,0,0
"520",1,1,1,1,1,1,1,0,1,1
"521",0,0,0,1,0,1,0,0,0,1
"522",0,1,0,1,1,1,1,1,1,1
"523",0,0,0,0,0,0,0,1,0,1
"524",0,0,0,0,0,0,0,0,1,0
"525",0,0,0,0,1,1,1,1,1,0
"526",0,0,1,1,1,1,1,1,1,1
"527",0,1,1,1,1,1,1,1,1,1
"528",1,1,1,1,1,1,1,0,0,1
"529",1,0,0,0,0,0,0,0,0,0
"530",0,0,0,0,0,0,1,0,1,0
"531",0,0,0,0,1,0,1,1,1,0
"532",1,1,0,0,0,0,0,0,0,0
"533",0,0,0,0,1,0,0,0,1,1
"534",0,1,0,0,1,0,0,0,0,0
"535",0,0,0,0,0,0,0,0,1,0
"536",0,0,0,1,0,1,1,1,1,1
"537",0,0,0,1,1,0,1,1,1,1
"538",0,0,0,1,0,1,1,0,1,1
"539",1,0,0,0,0,0,0,0,0,0
"540",0,0,0,0,0,0,0,1,0,1
"541",0,0,0,0,1,0,0,0,0,0
"542",0,0,0,0,1,1,1,0,1,1
"543",0,1,0,0,1,1,0,0,1,1
"544",1,0,0,0,0,0,0,0,0,0
"545",0,0,0,1,0,0,0,0,0,1
"546",1,1,1,1,0,0,1,1,0,0
"547",0,0,0,0,0,0,0,0,1,0
"548",1,1,1,1,1,0,1,0,0,0
"549",0,0,0,0,0,1,1,1,1,0
"550",0,0,0,0,0,0,1,0,1,1
"551",1,1,1,0,1,1,1,0,1,0
"552",0,0,1,1,1,1,1,1,1,1
"553",0,0,1,1,1,1,1,1,1,1
"554",0,0,0,1,1,1,1,1,1,1
"555",1,0,1,1,1,1,1,1,1,1
"556",1,1,1,1,1,1,0,0,0,1
"557",0,0,0,0,0,0,0,1,1,1
"558",1,1,1,1,1,1,0,1,0,0
"559",0,0,1,1,0,1,1,1,1,1
"560",0,1,0,1,1,1,1,1,1,1
"561",1,0,0,0,0,0,0,0,0,0
"562",1,0,0,1,0,0,0,0,0,0
"563",0,0,0,0,0,0,0,1,0,1
"564",1,1,1,1,1,1,0,1,0,0
"565",0,0,0,0,0,0,0,0,0,1
"566",0,1,1,0,1,0,1,1,1,1
"567",1,0,0,0,0,0,0,0,0,0
"568",1,1,1,1,1,1,1,1,1,0
"569",1,1,1,0,0,0,0,0,0,0
"570",0,1,1,0,1,1,1,1,0,0
"571",0,0,1,0,0,0,0,1,1,1
"572",1,1,1,1,0,1,0,0,0,0
"573",1,1,1,1,1,0,1,0,0,0
"574",1,0,0,0,1,0,0,0,0,0
"575",1,1,1,1,1,0,1,1,0,0
"576",0,0,1,1,1,1,1,1,1,1
"577",1,1,1,1,1,1,1,1,1,0
"578",1,0,1,0,0,0,0,0,0,0
"579",0,0,0,0,0,0,1,1,1,1
"580",0,1,1,1,1,0,1,1,1,1
"581",1,0,1,0,0,0,0,0,0,0
"582",0,0,0,0,1,0,0,0,0,0
"583",0,1,1,0,1,1,1,1,1,1
"584",1,1,1,1,1,0,0,0,0,0
"585",1,1,1,1,0,1,1,1,0,0
"586",1,1,1,1,0,1,0,1,1,0
"587",0,0,0,1,0,1,1,1,1,1
"588",1,0,0,1,0,0,0,0,0,0
"589",0,0,0,1,1,1,1,1,1,1
"590",1,1,1,1,0,1,1,0,1,0
"591",1,1,1,1,1,1,0,1,0,0
"592",1,1,1,1,0,0,0,0,0,0
"593",1,1,1,1,1,1,1,1,0,1
"594",0,0,0,0,1,1,1,0,0,1
"595",0,0,0,0,1,0,1,1,0,1
"596",1,0,1,0,0,0,0,0,0,0
"597",1,0,0,0,0,0,0,0,0,0
"598",0,1,0,1,1,0,1,1,1,1
"599",0,0,0,0,0,0,1,1,1,1
"600",1,1,1,0,1,1,1,0,0,1
"601",1,1,0,0,1,0,0,0,1,0
"602",0,1,0,0,0,1,0,0,1,0
"603",0,0,1,1,0,1,0,1,1,1
"604",1,1,1,1,1,1,1,0,0,0
"605",0,0,0,0,1,1,1,1,1,1
