"","x"
"508",-0.9
"509",-2.7
"510",-2.7
"511",-0.9
"512",2.7
"513",0.9
"514",-2.7
"515",0.9
"516",0.9
"517",0.9
"518",-0.9
"519",-2.7
"520",2.7
"521",-2.7
"522",2.7
"523",-2.7
"524",-0.9
"525",-0.9
"526",2.7
"527",2.7
"528",2.7
"529",-2.7
"530",-2.7
"531",0.9
"532",-2.7
"533",-2.7
"534",-2.7
"535",-2.7
"536",0.9
"537",0.9
"538",-0.9
"539",-2.7
"540",-0.9
"541",-2.7
"542",-0.9
"543",-0.9
"544",-2.7
"545",-2.7
"546",0.9
"547",-2.7
"548",2.7
"549",-0.9
"550",-2.7
"551",0.9
"552",2.7
"553",0.9
"554",-0.9
"555",2.7
"556",0.9
"557",-0.9
"558",0.9
"559",0.9
"560",2.7
"561",-2.7
"562",-2.7
"563",-0.9
"564",0.9
"565",-2.7
"566",0.9
"567",-2.7
"568",0.9
"569",-0.9
"570",0.9
"571",-0.9
"572",-0.9
"573",-0.9
"574",-2.7
"575",0.9
"576",2.7
"577",2.7
"578",-2.7
"579",-0.9
"580",2.7
"581",-2.7
"582",-0.9
"583",0.9
"584",0.9
"585",0.9
"586",0.9
"587",0.9
"588",-0.9
"589",0.9
"590",2.7
"591",0.9
"592",-0.9
"593",2.7
"594",-0.9
"595",-0.9
"596",-2.7
"597",-2.7
"598",2.7
"599",-0.9
"600",0.9
"601",-0.9
"602",-0.9
"603",0.9
"604",0.9
"605",0.9
"606",-0.9
"607",-0.9
"608",2.7
"609",0.9
"610",-0.9
"611",-0.9
"612",-0.9
"613",2.7
"614",-2.7
"615",-2.7
"616",0.9
"617",-2.7
"618",0.9
"619",0.9
"620",0.9
"621",-2.7
"622",-2.7
"623",0.9
"624",-2.7
"625",-2.7
"626",-0.9
"627",-2.7
"628",2.7
"629",2.7
"630",2.7
"631",-0.9
"632",2.7
"633",-2.7
"634",0.9
"635",-0.9
"636",2.7
"637",2.7
"638",0.9
"639",-0.9
"640",2.7
"641",0.9
"642",-0.9
"643",0.9
"644",-2.7
"645",0.9
"646",0.9
"647",0.9
"648",2.7
"649",0.9
"650",2.7
"651",0.9
"652",-2.7
"653",-2.7
"654",2.7
"655",-0.9
"656",0.9
"657",0.9
"658",-2.7
"659",2.7
"660",-0.9
"661",-2.7
"662",-0.9
"663",-0.9
"664",2.7
"665",2.7
"666",-2.7
"667",-2.7
"668",0.9
"669",-0.9
"670",-0.9
"671",0.9
"672",2.7
"673",-2.7
"674",-2.7
"675",-0.9
"676",0.9
"677",-0.9
"678",-0.9
"679",2.7
"680",-0.9
"681",-0.9
"682",-0.9
"683",-0.9
"684",2.7
"685",2.7
"686",-2.7
"687",-0.9
"688",2.7
"689",0.9
"690",0.9
"691",0.9
"692",-0.9
"693",0.9
"694",-0.9
"695",-0.9
"696",0.9
"697",-2.7
"698",2.7
"699",2.7
"700",0.9
"701",2.7
"702",0.9
"703",-2.7
"704",0.9
"705",0.9
"706",-0.9
"707",-0.9
"708",-0.9
"709",-0.9
"710",-2.7
"711",-0.9
"712",-0.9
"713",-2.7
"714",-0.9
"715",-2.7
"716",2.7
"717",-2.7
"718",2.7
"719",-2.7
"720",-0.9
"721",2.7
"722",0.9
"723",-0.9
"724",-2.7
"725",2.7
"726",0.9
"727",-0.9
"728",-2.7
"729",2.7
"730",0.9
"731",-0.9
"732",-0.9
"733",0.9
"734",0.9
"735",-0.9
"736",-0.9
"737",-2.7
"738",0.9
"739",0.9
"740",0.9
"741",-2.7
"742",0.9
"743",0.9
"744",-0.9
"745",2.7
"746",0.9
"747",0.9
"748",2.7
"749",0.9
"750",0.9
"751",0.9
"752",2.7
"753",-0.9
"754",0.9
"755",2.7
"756",-2.7
"757",-2.7
"758",0.9
"759",2.7
"760",0.9
"761",-0.9
"762",-0.9
"763",-0.9
"764",-0.9
"765",-2.7
"766",0.9
"767",0.9
"768",-2.7
"769",0.9
"770",-2.7
"771",0.9
"772",-0.9
"773",-0.9
"774",0.9
"775",-0.9
"776",-0.9
"777",-2.7
"778",0.9
"779",-0.9
"780",-2.7
"781",2.7
"782",0.9
"783",-0.9
"784",-0.9
"785",2.7
"786",-2.7
"787",2.7
"788",2.7
"789",-0.9
"790",2.7
"791",-0.9
"792",2.7
"793",2.7
"794",-2.7
"795",0.9
"796",-0.9
"797",-0.9
"798",-0.9
"799",-2.7
"800",0.9
"801",0.9
"802",2.7
"803",-2.7
"804",0.9
"805",2.7
"806",-2.7
"807",-0.9
"808",2.7
"809",2.7
"810",-0.9
"811",2.7
"812",2.7
"813",-2.7
"814",2.7
"815",0.9
"816",0.9
"817",-0.9
"818",0.9
"819",2.7
"820",-0.9
"821",0.9
"822",-2.7
"823",2.7
"824",2.7
"825",-0.9
"826",0.9
"827",-0.9
"828",-0.9
"829",2.7
"830",0.9
"831",0.9
"832",-0.9
"833",-2.7
"834",0.9
"835",2.7
"836",0.9
"837",0.9
"838",-0.9
"839",2.7
"840",-0.9
"841",-0.9
"842",-2.7
"843",2.7
"844",-0.9
"845",0.9
"846",2.7
"847",-2.7
"848",2.7
"849",-2.7
"850",-2.7
"851",2.7
"852",-0.9
"853",-0.9
"854",0.9
"855",-0.9
"856",-0.9
"857",2.7
"858",2.7
"859",-0.9
"860",2.7
"861",2.7
"862",0.9
"863",-2.7
"864",2.7
"865",0.9
"866",2.7
"867",-2.7
"868",-2.7
"869",2.7
"870",-0.9
"871",-2.7
"872",-2.7
"873",-0.9
"874",-2.7
"875",-2.7
"876",-2.7
"877",0.9
"878",0.9
"879",2.7
"880",0.9
"881",0.9
"882",-2.7
"883",-2.7
"884",2.7
"885",0.9
"886",-0.9
"887",-0.9
"888",0.9
"889",-0.9
"890",-2.7
"891",-0.9
"892",0.9
"893",-2.7
"894",0.9
"895",0.9
"896",-0.9
"897",-0.9
"898",-0.9
"899",0.9
"900",0.9
"901",0.9
"902",0.9
"903",2.7
"904",0.9
"905",0.9
"906",0.9
"907",2.7
"908",0.9
"909",0.9
"910",-2.7
"911",0.9
"912",-2.7
"913",0.9
"914",-0.9
"915",-2.7
"916",0.9
"917",2.7
"918",-0.9
"919",0.9
"920",0.9
"921",-2.7
"922",0.9
"923",-2.7
"924",-2.7
"925",2.7
"926",2.7
"927",-2.7
"928",-0.9
"929",0.9
"930",0.9
"931",2.7
"932",-2.7
"933",-2.7
"934",-2.7
"935",0.9
"936",-0.9
"937",0.9
"938",0.9
"939",-0.9
"940",0.9
"941",0.9
"942",2.7
"943",-0.9
"944",-0.9
"945",-2.7
"946",0.9
"947",-0.9
"948",-0.9
"949",-2.7
"950",-0.9
"951",-2.7
"952",0.9
"953",2.7
"954",2.7
"955",2.7
"956",-2.7
"957",2.7
"958",-0.9
"959",2.7
"960",0.9
"961",0.9
"962",2.7
"963",-2.7
"964",-0.9
"965",0.9
"966",0.9
"967",2.7
"968",2.7
"969",-0.9
"970",-0.9
"971",0.9
"972",-0.9
"973",0.9
"974",0.9
"975",0.9
"976",-2.7
"977",2.7
"978",-2.7
"979",0.9
"980",0.9
"981",0.9
"982",0.9
"983",0.9
"984",2.7
"985",-2.7
"986",-0.9
"987",-2.7
"988",-2.7
"989",0.9
"990",0.9
"991",-2.7
"992",-0.9
"993",0.9
"994",2.7
"995",-0.9
"996",2.7
"997",0.9
"998",2.7
"999",0.9
"1000",-2.7
"1001",0.9
"1002",0.9
"1003",0.9
"1004",0.9
"1005",2.7
"1006",-0.9
"1007",0.9
"1008",-2.7
"1009",-2.7
"1010",0.9
"1011",0.9
"1012",2.7
"1013",2.7
"1014",-2.7
"1015",-0.9
"1016",-0.9
"1017",-0.9
"1018",-0.9
"1019",-2.7
"1020",-0.9
"1021",-2.7
"1022",-0.9
"1023",0.9
"1024",0.9
"1025",2.7
"1026",0.9
"1027",-2.7
"1028",0.9
"1029",2.7
"1030",-0.9
"1031",0.9
"1032",-2.7
"1033",-0.9
"1034",-2.7
"1035",2.7
"1036",2.7
"1037",-2.7
"1038",0.9
"1039",2.7
"1040",-2.7
"1041",-2.7
"1042",-0.9
"1043",0.9
"1044",0.9
"1045",-0.9
"1046",-2.7
"1047",-0.9
"1048",-0.9
"1049",-0.9
"1050",2.7
"1051",-2.7
"1052",-0.9
"1053",2.7
"1054",0.9
"1055",2.7
"1056",-0.9
"1057",0.9
"1058",0.9
"1059",-0.9
"1060",-2.7
"1061",2.7
"1062",2.7
"1063",0.9
"1064",2.7
"1065",-0.9
"1066",0.9
"1067",2.7
"1068",2.7
"1069",0.9
"1070",2.7
"1071",-2.7
"1072",-0.9
"1073",-0.9
"1074",0.9
"1075",-2.7
"1076",2.7
"1077",-0.9
"1078",0.9
"1079",-0.9
"1080",2.7
"1081",-0.9
"1082",2.7
"1083",2.7
"1084",-2.7
"1085",2.7
"1086",-0.9
"1087",2.7
"1088",-2.7
"1089",0.9
"1090",-0.9
"1091",-0.9
"1092",0.9
"1093",2.7
"1094",-0.9
"1095",0.9
"1096",-0.9
"1097",0.9
"1098",-0.9
"1099",2.7
"1100",-2.7
"1101",0.9
"1102",-2.7
"1103",-0.9
"1104",-2.7
"1105",-2.7
"1106",2.7
"1107",-2.7
"1108",0.9
"1109",-0.9
"1110",-2.7
"1111",0.9
"1112",0.9
"1113",-0.9
"1114",2.7
"1115",2.7
"1116",0.9
"1117",2.7
"1118",2.7
"1119",2.7
"1120",2.7
"1121",-0.9
"1122",-2.7
"1123",-0.9
"1124",-2.7
"1125",-0.9
"1126",-0.9
"1127",-2.7
"1128",-0.9
"1129",2.7
"1130",-2.7
"1131",0.9
"1132",-0.9
"1133",-0.9
"1134",-0.9
"1135",0.9
"1136",-2.7
"1137",-0.9
"1138",0.9
"1139",0.9
"1140",2.7
"1141",0.9
"1142",2.7
"1143",0.9
"1144",0.9
"1145",-0.9
"1146",-0.9
"1147",-2.7
"1148",-0.9
"1149",2.7
"1150",-2.7
"1151",-0.9
"1152",-2.7
"1153",0.9
"1154",0.9
"1155",0.9
"1156",-0.9
"1157",-0.9
"1158",-2.7
"1159",-0.9
"1160",-2.7
"1161",-0.9
"1162",2.7
"1163",-2.7
"1164",-0.9
"1165",2.7
"1166",-2.7
"1167",-0.9
"1168",2.7
"1169",0.9
"1170",2.7
"1171",-2.7
"1172",2.7
"1173",0.9
"1174",0.9
"1175",-2.7
"1176",-0.9
"1177",-0.9
"1178",-0.9
"1179",0.9
"1180",-0.9
"1181",-2.7
"1182",-2.7
"1183",0.9
"1184",0.9
"1185",-2.7
"1186",-0.9
"1187",-0.9
"1188",2.7
"1189",-2.7
"1190",0.9
"1191",0.9
"1192",-2.7
"1193",-2.7
"1194",-0.9
"1195",0.9
"1196",-2.7
"1197",2.7
"1198",2.7
"1199",-0.9
"1200",0.9
"1201",0.9
"1202",0.9
"1203",-2.7
"1204",2.7
"1205",-0.9
"1206",-2.7
"1207",0.9
"1208",2.7
"1209",0.9
"1210",2.7
"1211",-2.7
"1212",2.7
"1213",0.9
"1214",-0.9
"1215",2.7
"1216",0.9
"1217",2.7
"1218",-0.9
"1219",-0.9
"1220",2.7
"1221",-2.7
"1222",2.7
"1223",2.7
"1224",-0.9
"1225",-2.7
"1226",2.7
"1227",-0.9
"1228",0.9
"1229",-0.9
"1230",2.7
"1231",0.9
"1232",-2.7
"1233",0.9
"1234",0.9
"1235",0.9
"1236",2.7
"1237",0.9
"1238",2.7
"1239",-2.7
"1240",0.9
"1241",0.9
"1242",-0.9
"1243",0.9
"1244",0.9
"1245",-0.9
"1246",2.7
"1247",2.7
"1248",-0.9
"1249",-2.7
"1250",0.9
"1251",-2.7
"1252",2.7
"1253",-0.9
"1254",-0.9
"1255",0.9
"1256",0.9
"1257",2.7
"1258",0.9
"1259",2.7
"1260",0.9
"1261",0.9
"1262",-0.9
"1263",0.9
"1264",0.9
"1265",0.9
"1266",0.9
"1267",-0.9
"1268",-0.9
"1269",0.9
"1270",2.7
"1271",-0.9
"1272",2.7
"1273",-0.9
"1274",0.9
"1275",-0.9
"1276",0.9
"1277",2.7
"1278",2.7
"1279",0.9
"1280",2.7
"1281",2.7
"1282",-2.7
"1283",2.7
"1284",2.7
"1285",2.7
"1286",-0.9
"1287",2.7
"1288",0.9
"1289",-0.9
"1290",-0.9
"1291",-2.7
"1292",0.9
"1293",-0.9
"1294",0.9
"1295",-2.7
"1296",0.9
"1297",-0.9
"1298",-0.9
"1299",-0.9
"1300",0.9
"1301",2.7
"1302",-0.9
"1303",-2.7
"1304",-2.7
"1305",0.9
"1306",2.7
"1307",-2.7
"1308",-0.9
"1309",0.9
"1310",0.9
"1311",-0.9
"1312",2.7
"1313",2.7
"1314",0.9
"1315",0.9
"1316",0.9
"1317",2.7
"1318",-2.7
"1319",0.9
"1320",-0.9
"1321",-2.7
"1322",-2.7
"1323",0.9
"1324",-0.9
"1325",-2.7
"1326",2.7
"1327",2.7
"1328",2.7
"1329",-2.7
"1330",-0.9
"1331",0.9
"1332",-0.9
"1333",0.9
"1334",0.9
"1335",-0.9
"1336",-2.7
"1337",2.7
"1338",2.7
"1339",2.7
"1340",-0.9
"1341",2.7
"1342",0.9
"1343",-0.9
"1344",0.9
"1345",0.9
"1346",-0.9
"1347",-2.7
"1348",0.9
"1349",0.9
"1350",-2.7
"1351",0.9
"1352",-2.7
"1353",-2.7
"1354",-0.9
"1355",0.9
"1356",-0.9
"1357",2.7
"1358",0.9
"1359",-2.7
"1360",2.7
"1361",2.7
"1362",2.7
"1363",-2.7
"1364",-2.7
"1365",0.9
"1366",0.9
"1367",0.9
"1368",0.9
"1369",0.9
"1370",-2.7
"1371",-0.9
"1372",-0.9
"1373",2.7
"1374",-2.7
"1375",-0.9
"1376",2.7
"1377",2.7
"1378",-2.7
"1379",0.9
"1380",-2.7
"1381",-2.7
"1382",-0.9
"1383",2.7
"1384",2.7
"1385",2.7
"1386",-2.7
"1387",-2.7
"1388",-2.7
"1389",-0.9
"1390",2.7
"1391",-2.7
"1392",-2.7
"1393",2.7
"1394",-2.7
"1395",0.9
"1396",-0.9
"1397",-0.9
"1398",2.7
"1399",-2.7
"1400",-2.7
"1401",-2.7
"1402",0.9
"1403",-0.9
"1404",0.9
"1405",0.9
"1406",-0.9
"1407",-0.9
"1408",2.7
"1409",0.9
"1410",2.7
"1411",2.7
"1412",2.7
"1413",-0.9
"1414",0.9
"1415",-2.7
"1416",-0.9
"1417",2.7
"1418",0.9
"1419",-2.7
"1420",0.9
"1421",2.7
"1422",-2.7
"1423",0.9
"1424",2.7
"1425",-0.9
"1426",0.9
"1427",-0.9
"1428",-2.7
"1429",-2.7
"1430",-2.7
"1431",0.9
"1432",-0.9
"1433",2.7
"1434",2.7
"1435",-0.9
"1436",-2.7
"1437",0.9
"1438",-2.7
"1439",0.9
"1440",2.7
"1441",-2.7
"1442",2.7
"1443",-0.9
"1444",-2.7
"1445",0.9
"1446",0.9
"1447",-2.7
"1448",0.9
"1449",2.7
"1450",-0.9
"1451",0.9
"1452",-0.9
"1453",-2.7
"1454",-2.7
"1455",-0.9
"1456",-2.7
"1457",-0.9
"1458",-2.7
"1459",-0.9
"1460",-2.7
"1461",0.9
"1462",-2.7
"1463",-2.7
"1464",0.9
"1465",-2.7
"1466",-0.9
"1467",0.9
"1468",2.7
"1469",0.9
"1470",-2.7
"1471",0.9
"1472",-0.9
"1473",0.9
"1474",-2.7
"1475",-2.7
"1476",0.9
"1477",2.7
"1478",-0.9
"1479",-2.7
"1480",-2.7
"1481",-0.9
"1482",2.7
"1483",2.7
"1484",2.7
"1485",-2.7
"1486",-2.7
"1487",-2.7
"1488",-0.9
"1489",0.9
"1490",-0.9
"1491",2.7
"1492",2.7
"1493",2.7
"1494",-0.9
"1495",0.9
"1496",0.9
"1497",0.9
"1498",-0.9
"1499",0.9
"1500",0.9
"1501",-2.7
"1502",-2.7
"1503",-2.7
"1504",2.7
"1505",-2.7
"1506",2.7
"1507",-2.7
"1508",-0.9
"1509",0.9
"1510",-0.9
"1511",-0.9
"1512",-0.9
"1513",-2.7
"1514",2.7
"1515",0.9
"1516",-0.9
"1517",-2.7
"1518",0.9
"1519",-0.9
"1520",2.7
"1521",-2.7
"1522",2.7
"1523",-0.9
"1524",-0.9
"1525",-2.7
"1526",-2.7
"1527",-2.7
"1528",-2.7
"1529",0.9
"1530",-2.7
"1531",0.9
"1532",0.9
"1533",-0.9
"1534",2.7
"1535",2.7
"1536",0.9
"1537",-2.7
"1538",0.9
"1539",-2.7
"1540",2.7
"1541",0.9
"1542",2.7
"1543",-2.7
"1544",0.9
"1545",2.7
"1546",-0.9
"1547",2.7
"1548",2.7
"1549",0.9
"1550",-0.9
"1551",0.9
"1552",2.7
"1553",0.9
"1554",0.9
"1555",2.7
"1556",2.7
"1557",-2.7
"1558",-0.9
"1559",2.7
"1560",-0.9
"1561",2.7
"1562",2.7
"1563",2.7
"1564",0.9
"1565",-0.9
"1566",2.7
"1567",-0.9
"1568",-2.7
"1569",-0.9
"1570",-2.7
"1571",0.9
"1572",2.7
"1573",-0.9
"1574",-0.9
"1575",-0.9
"1576",2.7
"1577",0.9
"1578",0.9
"1579",2.7
"1580",-2.7
"1581",-2.7
"1582",-0.9
"1583",2.7
"1584",0.9
"1585",2.7
"1586",2.7
"1587",2.7
"1588",2.7
"1589",-0.9
"1590",-2.7
"1591",0.9
"1592",2.7
"1593",2.7
"1594",-0.9
"1595",-0.9
"1596",-2.7
"1597",-0.9
"1598",2.7
"1599",-2.7
"1600",2.7
"1601",-2.7
"1602",2.7
"1603",-0.9
"1604",2.7
"1605",2.7
"1606",0.9
"1607",-0.9
"1608",0.9
"1609",0.9
"1610",-2.7
"1611",-0.9
"1612",-2.7
"1613",2.7
"1614",2.7
"1615",2.7
"1616",0.9
"1617",0.9
"1618",-0.9
"1619",0.9
"1620",0.9
"1621",-0.9
"1622",-0.9
"1623",-0.9
"1624",-0.9
"1625",-0.9
"1626",2.7
"1627",-0.9
"1628",-0.9
"1629",-2.7
"1630",-0.9
"1631",0.9
"1632",0.9
"1633",0.9
"1634",-2.7
"1635",-2.7
"1636",0.9
"1637",-2.7
"1638",2.7
"1639",-2.7
"1640",2.7
"1641",-0.9
"1642",-0.9
"1643",2.7
"1644",2.7
"1645",2.7
"1646",0.9
"1647",-2.7
